health,status,index,uuid,pri,rep,docs.count_x,docs.deleted_x,store.size,pri.store.size,deleted_to_count_ratio,shard,prirep,ip,segment,generation,docs.count_y,docs.deleted_y,size,size.memory,committed,searchable,version,compound,segments_count,TenantId,Tenant,Business,Technical,Marketplace,Total,mean_size,variance_size,95th_percentile_size,std_dev_size(mb)
green,open,devprod-ab9rupausetle02vlqbdsg-mkg_document_store-ccgf-contentv2,2cfMZrN1SXKknqx62EtU_g,1,1,21,0,0.15,0.06,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,5.0,ab9rupausetle02vlqbdsg,16aug_search_dev,0,0,0,10,0.026000000000000002,2.9999999999999984e-05,0.03,0.0054772255750516596
green,open,devprod-0hl4le4y3rbfieuc05nesg-mkg_document_store-ccgf-contentv2,LBCvtgD5SYC4uoE9PMzpRQ,1,1,19,1,0.14,0.07,5.26,0,r,x.x.x.x,_0,0,18,1,0.05,11300,true,true,8.2.0,true,4.0,0hl4le4y3rbfieuc05nesg,claire-app-dev-12,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-jahkppqbc8ghyqy6jplkes-mkg_document_store-ccgf-contentv2,KopLeaN5Q-SRJ0WT_yfD2w,1,1,19,1,0.14,0.07,5.26,0,p,x.x.x.x,_0,0,18,1,0.05,11284,true,true,8.2.0,true,4.0,jahkppqbc8ghyqy6jplkes,11Sep_Claire_QE,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-2hkaz8dlt8nhjpmfk72pc1-mkg_document_store-ccgf-contentv2,pxjf4X3RSlqmpmQMJ2RCZA,1,1,19,1,0.14,0.07,5.26,0,p,x.x.x.x,_0,0,18,1,0.05,11284,true,true,8.2.0,true,4.0,,,,,,,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-9s4ttfcnfcmejk20rgbt60-mkg_document_store-ccgf-contentv2,6pPNrTHwQaiXTFZlg2eqpg,1,1,19,1,0.14,0.07,5.26,0,r,x.x.x.x,_0,0,18,1,0.05,11284,true,true,8.2.0,true,4.0,9s4ttfcnfcmejk20rgbt60,JUNE_GA_BKP_TENANT_3,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-as9y31n2wiaibwlms2e5ag-mkg_document_store-ccgf-contentv2,NyUkN0TzTYqZF0ChSVNCDg,1,1,19,1,0.14,0.07,5.26,0,p,x.x.x.x,_0,0,18,1,0.05,11300,true,true,8.2.0,true,4.0,,,,,,,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-7drqk8alcplc49wcffuluj-mkg_document_store-ccgf-contentv2,MJVqbAhCTPmz06dmCAVtxw,1,1,19,1,0.14,0.07,5.26,0,p,x.x.x.x,_0,0,18,1,0.05,11300,true,true,8.2.0,true,4.0,7drqk8alcplc49wcffuluj,praj_claire_14july,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-6rl3e804food1jouplrqwr-mkg_document_store-ccgf-contentv2,rM2I3WwdQ2yr55VypRm-tQ,1,1,19,1,0.14,0.07,5.26,0,p,x.x.x.x,_0,0,18,1,0.05,11300,true,true,8.2.0,true,4.0,6rl3e804food1jouplrqwr,JUNE_GA_BKP_TENANT_5,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-8kgqwezvnghhfe7h2m1lsr-mkg_document_store-ccgf-contentv2,UflMIndoSOWornNQ3pSi8g,1,1,19,1,0.14,0.07,5.26,0,p,x.x.x.x,_0,0,18,1,0.05,11300,true,true,8.2.0,true,4.0,8kgqwezvnghhfe7h2m1lsr,sept-12-temp-1,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-3feblt9svypdjljhenmlgn-mkg_document_store-ccgf-contentv2,99qtRYt9Swm82QREGGkhcA,1,1,19,1,0.14,0.07,5.26,0,r,x.x.x.x,_0,0,18,1,0.05,11300,true,true,8.2.0,true,4.0,,,,,,,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-36djjbhmryhjvfbi982ewi-mkg_document_store-ccgf-contentv2,-5M38PETRbO78AAINqyrrg,1,1,19,1,0.14,0.07,5.26,0,r,x.x.x.x,_0,0,18,1,0.05,11300,true,true,8.2.0,true,4.0,36djjbhmryhjvfbi982ewi,JUNE_GA_BKP_TENANT_4,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-1rbsiqe7oajefshxykqxiw-mkg_document_store-ccgf-contentv2,18zg9XymQEGFD9UKSuN3RQ,1,1,19,1,0.14,0.07,5.26,0,r,x.x.x.x,_0,0,18,1,0.05,11284,true,true,8.2.0,true,4.0,1rbsiqe7oajefshxykqxiw,sept-12-temp-2,0,0,0,10,0.035,0.0003000000000000001,0.05,0.017320508075688777
green,open,devprod-axfvtjlv7cocj2dfkvljkr-mkg_document_store-ccgf-contentv2,LaQt7vtpSqCDtfM3Mg4Vrw,1,1,34,0,0.13,0.06,0.0,0,p,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,4.0,axfvtjlv7cocj2dfkvljkr,21Aug_PlatformQE_01,15,0,0,25,0.03,0.0,0.03,0.0
green,open,devprod-2jamedsqpm0k7epha3dwoq-mkg_document_store-ccgf-contentv2,URASt2R-SvOp4QKXN8TwKg,1,1,35,0,0.12,0.08,0.0,0,r,x.x.x.x,_3,3,35,0,0.05,11820,true,true,8.2.0,false,4.0,2jamedsqpm0k7epha3dwoq,Platform_MDP314,16,0,0,26,0.03,0.0002,0.04699999999999999,0.01414213562373095
green,open,devprod-ehvx48zbkyvdsbmdklzpyu-mkg_document_store-ccgf-contentv2,ohEOjotCScqygvHHh2MzuA,1,1,20,0,0.11,0.05,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,4.0,ehvx48zbkyvdsbmdklzpyu,18aug_clairegpt,0,0,0,11,0.025,3.333333333333333e-05,0.03,0.005773502691896257
green,open,devprod-63geb01fgzncq48vd05mmk-mkg_document_store-ccgf-contentv2,_55PyMo-R2aNfXko4T-7ng,1,1,27,0,0.1,0.05,0.0,0,p,x.x.x.x,_7,7,27,0,0.05,13588,true,true,8.2.0,true,2.0,63geb01fgzncq48vd05mmk,INGCON_TG_CDN_TENANT_DECOMISSION_RETRY_03,0,0,8,18,0.05,0.0,0.05,0.0
green,open,devprod-3smrwnomu3bbbe7zg8rbwa-mkg_document_store-ccgf-contentv2,LtGUxLHeR_yUuoPD7Vftqg,1,1,21,0,0.08,0.04,0.0,0,p,x.x.x.x,_4,4,21,0,0.04,13356,true,true,8.2.0,true,2.0,3smrwnomu3bbbe7zg8rbwa,PlatformQE_23Aug01,1,0,0,11,0.04,0.0,0.04,0.0
green,open,devprod-8o7wd06k2uxi51y817acap-mkg_document_store-ccgf-contentv2,Ptxeamd0S5KDQX-MnJs3zA,1,1,19,0,0.07,0.04,0.0,0,r,x.x.x.x,_2,2,19,0,0.04,10956,true,true,8.2.0,true,2.0,8o7wd06k2uxi51y817acap,DEVPROD_PM_1,0,0,0,10,0.04,0.0,0.04,0.0
green,open,devprod-5hkj8azwfqpjik50xm28cp-mkg_document_store-ccgf-contentv2,TjTH2hV2S_OTGW40jJM6NQ,1,1,19,0,0.07,0.04,0.0,0,p,x.x.x.x,_2,2,19,0,0.04,10956,true,true,8.2.0,true,2.0,5hkj8azwfqpjik50xm28cp,DEVPROD_PS_1,0,0,0,10,0.04,0.0,0.04,0.0
green,open,devprod-7kt5pwakskmg0exxnwgkcl-mkg_document_store-ccgf-contentv2,mrBcqMDjTHOAgITN3lctkw,1,1,19,0,0.07,0.04,0.0,0,p,x.x.x.x,_2,2,19,0,0.04,11804,true,true,8.2.0,true,2.0,,,,,,,0.04,0.0,0.04,0.0
green,open,devprod-6q7m7ojpwqvbps2s7xph0n-mkg_document_store-ccgf-contentv2,cPwZu8RnQL6trnsu7x3WuA,1,1,19,0,0.07,0.04,0.0,0,p,x.x.x.x,_2,2,19,0,0.04,11804,true,true,8.2.0,true,2.0,6q7m7ojpwqvbps2s7xph0n,22AUG_BISCANNER_NEW,0,0,0,10,0.04,0.0,0.04,0.0
green,open,devprod-0vuy17wau3xgvglxrdvuyt-mkg_document_store-ccgf-contentv2,YkKQFl4bRAyVHhZ0_2IzTg,1,1,19,0,0.07,0.04,0.0,0,p,x.x.x.x,_2,2,19,0,0.04,11804,true,true,8.2.0,true,2.0,0vuy17wau3xgvglxrdvuyt,ProfilingQE_08July2023,0,0,0,10,0.04,0.0,0.04,0.0
green,open,devprod-ajt4j9jw3wol8eqtudac0z-mkg_document_store-ccgf-contentv2,rJTFxiccRiiTYDghhu7qtw,1,1,19,0,0.07,0.04,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,ajt4j9jw3wol8eqtudac0z,GCS_Scanner_3,0,0,0,10,0.03,0.0,0.03,0.0
green,open,devprod-6th6lozey39k63bbyba3qc-mkg_document_store-ccgf-contentv2,pPTCTgM6TCGjvHWeOm5oHg,1,1,19,0,0.07,0.04,0.0,0,p,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,6th6lozey39k63bbyba3qc,17aug_Claire_Provisioning_Validation3,0,0,0,10,0.03,0.0,0.03,0.0
green,open,devprod-23cxfydmdszjc7kylpo0iq-mkg_document_store-ccgf-contentv2,9SlxuMCXQ_-9yF49rwff5A,1,1,19,0,0.07,0.04,0.0,0,p,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,23cxfydmdszjc7kylpo0iq,claire-dev-aug11,0,0,0,10,0.03,0.0,0.03,0.0
green,open,devprod-kxrn6hqmhwolreucubybav-mkg_document_store-ccgf-contentv2,FXt2pkmJTjCySRqT1LlqSQ,1,1,19,0,0.07,0.04,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,kxrn6hqmhwolreucubybav,pactera,0,0,0,10,0.03,0.0,0.03,0.0
green,open,devprod-3c2mtll7qmmlm13ftm6p6b-mkg_document_store-ccgf-contentv2,x-dpsrYYSbSy7AUuWT1wwg,1,1,19,0,0.07,0.04,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,3c2mtll7qmmlm13ftm6p6b,MDP_369_Prov_Fix_Test_Tenant2,0,0,0,10,0.03,0.0,0.03,0.0
green,open,devprod-a34xmsqytfuf6qdh7vfxwm-mkg_document_store-ccgf-contentv2,JI73h56SRQuymAJD1Ubflw,1,1,19,0,0.07,0.04,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,a34xmsqytfuf6qdh7vfxwm,platform_july_regression,0,0,0,10,0.03,0.0,0.03,0.0
green,open,devprod-7ic20ohpcmojjiuvw0gsap-mkg_document_store-ccgf-contentv2,FjXruaY5RWaNiDeuSQsGEQ,1,1,19,0,0.07,0.04,0.0,0,r,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,,,,,,,0.03,0.0,0.03,0.0
green,open,devprod-9fd4aiigl28edetrasmyaz-mkg_document_store-ccgf-contentv2,L_9IWHQAQEGF_q7nah2qbg,1,1,19,0,0.07,0.04,0.0,0,p,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,2.0,9fd4aiigl28edetrasmyaz,GCS_Scanner_2,0,0,0,10,0.03,0.0,0.03,0.0
