TenantId,Objects,Relationship
cdgc_ui_0812_01,"70,692","1,63,046"
cdgc_ui_1805_01,"13,714","15,339"
cdgc_ui_2411_02,"55,35,370","40,184"
cdgc_ui_2411_03,"5,88,502","7,32,367"
cdgc_ui_2411_04,"32,177","81,597"
cdgc_ui_3011_01,"2,89,910","4,20,275"
cdgc_ui_ci_apps,180,275
cdgc_ui_dev_may09_1,"9,98,039","10,06,922"
cdgc_ui_metering,"1,11,400","1,53,573"
cdgc_ui_metering_2,"5,236","6,623"
cdgc_ui_metering_so,581,467
cdgc_ui_perf_10July23,"5,215","4,557"
cdgc_ui_perf_10July23_1,"66,517","1,57,728"
cdgc_upgrade,"41,603","37,078"
cdgcapp_july05,"16,969","42,412"
cdgcapp_july0607,"34,678","61,822"
cdgcui_0804,"2,77,491","2,92,443"
cdgcui_1205_01,10,9
cdgcui_1404_01,"2,75,421","4,87,913"
cdgcui_aws_1606_01,300,283
cdgcui_aws_1805_01,"8,828","9,864"
cdgcui_aws_1805_02,"14,489","6,369"
cdgcui_aws_1805_03,"21,754","1,49,199"
cdgcui_aws_1805_04,"11,875","22,436"
cdgcui_may_01,236,227
cdgcui_search_apr8,"2,75,531","4,41,550"
claire-app-dev-12,10,9
claire-dev-aug11,10,9
clairegpt-aug15,10,9
infa,10,9
jul_perf_dnd_cs2,"10,81,558","10,81,548"
jul_perf_team_01,"1,51,09,012","1,45,08,466"
jul_perf_team_02,"6,51,073","6,51,978"
july_newapp,"1,13,828","1,27,588"
mkg_rtc_check,"12,000",0
pactera,10,9
perf_cdgc_ui_august_01,"25,982","43,995"
perf_cdgc_ui_august_02,"11,84,586","4,84,501"
perf_cdgc_ui_august_03,"2,59,364","3,09,762"
perf_cdgc_ui_august_04,"2,55,609","3,06,780"
perf_cdgc_ui_august_05,"2,57,810","3,09,717"
perf_cdgc_ui_august_06,"3,13,028","5,66,028"
perf_cdgc_ui_august_07,"42,229","70,240"
perf_dnd_05,"1,63,39,630","1,81,53,604"
perf_dnd_07,"1,49,92,238","1,59,98,748"
perf_dnd_08,"1,30,27,886","1,35,91,701"
perf_dnd_09,"2,59,64,316","2,50,53,917"
perf_dnd_10,"1,13,78,457","1,25,31,691"
perf_dnd_12,"1,33,97,603","1,52,81,818"
perf_dnd_13,"1,10,68,929","1,31,13,739"
